Start Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),GHG Savings (kg),Energy (kWh),Port Type,Plug Type,Gasoline Savings (gallons),Postal Code,Ended By,Fee,Driver Postal Code,User ID,day_of_week,week,month,hour,count_event
2015-01-22 09:22:00,4:45:59,3:59:10,5.937,14.136,Level 2,J1772,1.774,30308,CPS Server,4.05,30346,300523.0,Thursday,4,1,9,1
2015-01-22 07:15:00,6:02:55,6:02:41,7.856,18.705,Level 2,J1772,2.3480000000000003,30308,Plug Out at Vehicle,5.14,30622,217113.0,Thursday,4,1,7,1
2015-01-22 06:40:00,5:56:20,4:14:19,4.853,11.556,Level 2,J1772,1.45,30308,Plug Out at Vehicle,5.05,30114,235945.0,Thursday,4,1,6,1
2015-01-22 06:58:00,3:16:56,3:00:50,4.959,11.807,Level 2,J1772,1.482,30308,Customer,2.79,30019,337307.0,Thursday,4,1,6,1
2015-01-21 19:40:00,1:32:35,1:32:19,2.331,5.55,Level 2,J1772,0.6970000000000001,30308,Customer,1.31,30062,250315.0,Wednesday,4,1,19,1
2015-01-21 16:40:00,4:29:49,4:16:10,5.419,12.902000000000001,Level 2,J1772,1.619,30308,Plug Out at Vehicle,3.82,0,0.0,Wednesday,4,1,16,1
2015-01-21 17:45:00,3:20:58,3:20:40,3.556,8.466000000000001,Level 2,J1772,1.063,30308,Plug Out at Vehicle,2.85,30360,200169.0,Wednesday,4,1,17,1
2015-01-21 14:57:00,4:09:21,4:08:29,6.7989999999999995,16.188,Level 2,J1772,2.032,30308,Plug Out at Vehicle,3.53,30080,241607.0,Wednesday,4,1,14,1
2015-01-21 11:30:00,6:20:36,2:38:56,3.042,7.242000000000001,Level 2,J1772,0.909,30308,Plug Out at Vehicle,5.39,30062,261355.0,Wednesday,4,1,11,1
2015-01-21 13:14:00,3:57:38,1:37:39,1.268,3.0189999999999997,Level 2,J1772,0.379,30308,Plug Out at Vehicle,3.37,30082,275669.0,Wednesday,4,1,13,1
